0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
18.7,244,74.3,45,1.1,0,0,6.6,0.5,0,0,0,0
8.1,245,85.3,48.2,0.2,0,0,6.6,0,0,0,0,0
85.4,246,6.3,0,0,0,0,6.6,1.7,0,0,0,0
20.3,247,2.1,0,0,0,0,6.6,71,20.5,6.9,0,0
5.9,248,87.1,46.8,16.2,0.5,0,6.6,0.6,0,0,0,0
77.1,249,15.1,1,0,0,0,6.6,1.3,0,0,0,0
75.9,250,3.5,0,0,0,0,6.6,14,4.2,0,0,0
10.8,251,78,9.9,0,0,0,6.6,4.6,2.6,0,0,0
53.6,252,2.2,0,0,0,0,6.6,37.6,19.3,3.9,0,0
78.1,253,15.3,0,0,0,0,6.6,0.1,0,0,0,0
28.4,254,0.4,0,0,0,0,6.6,64.7,29.9,0,0,0
61.4,255,8.6,0,0,0,0,6.6,23.6,0,0,0,0
26.9,256,6.7,0,0,0,0,6.6,59.9,37.4,8.5,0,0
50.7,257,2.3,0,0,0,0,6.6,40.4,12.6,7.3,0.4,0
8.4,258,82.9,29.9,0,0,0,6.6,2.1,0.2,0,0,0
35.5,259,54.2,1,0,0,0,6.6,3.7,1.9,0,0,0
47.5,260,11.4,1.8,0,0,0,6.6,34.5,3.9,0,0,0
2,261,90.4,37.1,2.3,0,0,6.6,0.9,0.3,0,0,0
57.5,262,35.8,19.7,1,0,0,6.6,0,0,0,0,0
51.2,263,4,1,0.1,0,0,6.6,38.3,1.6,0,0,0
21.1,264,0,0,0,0,0,6.6,72.3,1.9,0,0,0
93.4,265,0,0,0,0,0,6.6,0,0,0,0,0
84.9,266,8.5,0,0,0,0,6.6,0,0,0,0,0
47,267,23.6,16.3,13.1,9.6,8.1,6.6,22.9,2.4,0,0,0
8.1,268,5,2.4,1.2,0.4,0,6.6,80.4,76.4,70.7,66.1,61.4
5.1,269,0,0,0,0,0,6.6,88.2,83.2,76,69.4,60.5
20.6,270,1.4,0,0,0,0,6.6,71.4,56.5,12.1,0.4,0
13.8,271,1.2,0,0,0,0,6.6,78.4,58.2,11.8,0,0
63.4,272,16.2,7.9,1.6,0.6,0,6.6,13.7,5.9,2.4,1.8,0
4.7,273,0,0,0,0,0,6.6,88.7,84.1,70,36.9,9.9
22.7,274,69.6,38.6,17,0.4,0,6.6,1.2,0,0,0,0
13,275,77.3,44.4,10.2,0,0,6.6,3.1,0.2,0,0,0
