"L=longest; SK=most skillful; Obs=observed, in KAF for water year (WY) streamflow"			
WY	COLeesL	COLeesSK	COLeesObs
1512	12910.726	13772.050	
1513	16428.724	16956.939	
1514	19076.372	19807.824	
1515	14103.89	12152.476	
1516	12550.377	10431.726	
1517	15426.661	12640.024	
1518	11406.744	12822.112	
1519	19925.111	15576.706	
1520	17883.438	11837.790	
1521	18783.8	20664.096	
1522	10927.419	12744.475	
1523	17583.108	21548.865	
1524	13908.199	20179.286	
1525	14050.544	19101.380	
1526	17968.871	19179.206	
1527	19307.339	17732.935	
1528	12324.822	15387.299	
1529	13577.61	15693.699	
1530	17198.056	15867.300	
1531	13702.992	9494.751	
1532	8088.5984	5475.567	
1533	12023.633	11790.922	
1534	11864.513	17260.497	
1535	12159.32	17257.053	
1536	18691.262	18978.120	
1537	18005.267	18692.531	
1538	11641.263	12704.879	
1539	18181.324	17646.821	
1540	17725.175	19099.083	
1541	17086.573	15550.805	
1542	8306.2948	6764.605	
1543	12963.716	11129.450	
1544	10898.565	10236.645	
1545	12415.427	9355.098	
1546	17080.756	13764.117	
1547	15361.658	11962.528	
1548	16536.01	14060.245	
1549	18650.04	19486.407	
1550	17620.851	17223.199	
1551	13363.68	12711.779	
1552	12051.701	12915.339	
1553	19248.663	20497.458	
1554	15021.356	15704.414	
1555	15257.564	18753.603	
1556	12940.065	14927.941	
1557	17800.276	19128.981	
1558	10631.053	9966.408	
1559	15604.535	12252.361	
1560	16710.957	17154.558	
1561	12475.736	13295.752	
1562	9939.5336	10502.680	
1563	10625.998	12352.527	
1564	16588.333	18812.601	
1565	15885.617	18599.544	
1566	16674.445	13168.281	
1567	10943.965	11618.805	
1568	11971.575	12467.377	
1569	16438.788	12713.945	
1570	16992.618	16671.389	
1571	15349.791	16139.030	
1572	16394.525	17146.427	
1573	11814.979	12147.732	
1574	9746.4625	9572.348	
1575	16573.512	14295.171	
1576	11577.414	10994.896	
1577	14621.345	18749.785	
1578	16261.279	17146.474	
1579	11874.031	13184.597	
1580	8939.4112	8175.557	
1581	11598.711	9748.730	
1582	13039.23	12592.240	
1583	11325.473	10445.099	
1584	8061.3113	5610.726	
1585	10354.301	8071.201	
1586	13095.408	12187.838	
1587	12295.845	10409.269	
1588	18065.847	13528.072	
1589	14561.224	16328.060	
1590	9437.7707	8301.999	
1591	11224.723	8239.047	
1592	11258.402	8056.240	
1593	13100.262	10946.517	
1594	19848.99	17129.342	
1595	17974.195	15190.518	
1596	17477.292	18447.577	
1597	14162.155	12014.064	
1598	9341.8062	6774.382	
1599	16039.483	14559.138	
1600	8510.246	7100.674	
1601	13560.904	14915.447	
1602	15306.937	15438.779	
1603	13866.85	17692.041	
1604	17200.24	20022.560	
1605	18259.402	20528.474	
1606	18540.867	19555.345	
1607	13504.316	9254.908	
1608	18090.602	15596.896	
1609	15954.02	14998.021	
1610	19774.835	18159.056	
1611	16230.383	18436.259	
1612	13047.602	16205.649	
1613	20235.746	19401.177	
1614	17625.287	19737.189	
1615	18196.031	20526.076	
1616	19976.106	19588.486	
1617	20943.197	20604.586	
1618	18944.984	21438.244	
1619	19911.887	18597.608	
1620	19373.919	17866.895	
1621	22837.921	21498.690	
1622	18474.181	11603.826	
1623	11667.404	13814.001	
1624	9176.3063	11147.418	
1625	9048.2299	9708.244	
1626	8002.3405	9524.173	
1627	14961.711	13028.667	
1628	11194.196	13941.512	
1629	11050.506	12629.049	
1630	10449.196	11473.941	
1631	9688.3652	9489.299	
1632	8689.4178	9915.650	
1633	17059.561	19115.222	
1634	16657.976	11238.130	
1635	17020.811	11069.306	
1636	12932.241	12010.402	
1637	10357.457	11082.482	
1638	10074.358	12060.299	
1639	13399.284	15024.475	
1640	14803.1	15223.083	
1641	17352.709	13099.107	
1642	17298.738	15948.785	
1643	18315.576	14011.609	
1644	18512.765	16415.430	
1645	10368.332	9596.116	
1646	14193.509	10056.137	
1647	14692.694	15116.850	
1648	9804.2266	12587.366	
1649	19073.181	20293.641	
1650	18085.81	19136.216	
1651	21010.869	19579.558	
1652	14421.167	13471.000	
1653	13683.923	9728.139	
1654	7993.4166	6247.992	
1655	18746.037	19630.607	
1656	14761.616	12602.170	
1657	14444.597	14777.742	
1658	11589.25	10944.723	
1659	12698.998	12659.097	
1660	16250.864	15149.446	
1661	12424.17	14530.263	
1662	16409.692	16054.909	
1663	11522.797	14034.011	
1664	13728.012	11120.913	
1665	13335.439	12024.532	
1666	11937.602	10744.247	
1667	11182.348	9168.443	
1668	11401.834	8673.007	
1669	16695.523	17188.166	
1670	9145.2165	10049.803	
1671	9201.9857	9213.879	
1672	15671.515	16726.551	
1673	13769.076	18936.452	
1674	17906.572	18875.290	
1675	12227.208	14106.060	
1676	13330.08	19575.712	
1677	13201.627	15408.387	
1678	21352.143	21375.955	
1679	14078.299	17503.020	
1680	20269.177	22207.468	
1681	18643.637	19284.215	
1682	16131.565	14315.320	
1683	20553.329	20605.468	
1684	11521.716	11264.390	
1685	7700.1752	5141.958	
1686	9223.3264	7535.407	
1687	12142.807	11641.178	
1688	16819.399	15144.660	
1689	12869.664	14917.123	
1690	13107.816	16587.932	
1691	14966.045	18666.375	
1692	17540.767	16522.674	
1693	18680.923	16634.355	
1694	11459.699	15011.631	
1695	14762.113	12442.904	
1696	14579.212	14185.997	
1697	12935.856	14041.203	
1698	18263.433	18284.481	
1699	16234.299	16521.416	
1700	11703.817	12461.193	
1701	17009.748	19729.318	
1702	13746.559	17888.973	
1703	13720.837	13501.957	
1704	11618.819	10054.059	
1705	16895.875	14731.229	
1706	12964.195	10291.409	
1707	9992.4222	9789.819	
1708	9681.5436	8782.174	
1709	14566.783	12245.790	
1710	14134.478	13296.162	
1711	15635.99	12895.687	
1712	16080.291	14762.360	
1713	16010.173	12563.095	
1714	11107.814	8179.307	
1715	16220.099	12747.790	
1716	14539.451	12504.490	
1717	11658.549	11425.581	
1718	16380.536	15732.752	
1719	19274.893	20144.283	
1720	22630.298	22988.057	
1721	14664.472	13989.807	
1722	8046.7353	9350.628	
1723	14360.855	11943.357	
1724	12454.713	12188.499	
1725	18787.392	18572.329	
1726	20821.822	23136.056	
1727	18564.089	19386.816	
1728	10822.157	12706.016	
1729	7537.1006	10337.851	
1730	9154.0227	12239.161	
1731	11826.83	11973.204	
1732	11808.5	12302.886	
1733	11219.108	14588.468	
1734	16823.028	19729.250	
1735	9023.3387	9110.410	
1736	11669.007	8555.870	
1737	12753.902	10159.875	
1738	18106.367	15160.280	
1739	14151.497	15876.161	
1740	10866.609	10974.633	
1741	14751.06	17095.949	
1742	17205.136	14549.182	
1743	18142.655	17174.709	
1744	11643.916	12258.613	
1745	14123.028	17540.547	
1746	18787.44	19156.890	
1747	21760.364	21605.514	
1748	10427.99	10850.571	
1749	20375.553	18346.127	
1750	10026.322	11994.343	
1751	12630.213	14633.389	
1752	9629.0608	13276.347	
1753	16810.308	19289.061	
1754	10771.705	14463.024	
1755	10779.646	11699.146	
1756	9795.243	8064.284	
1757	8991.4156	9456.938	
1758	12707.776	12659.213	
1759	13859.689	9924.909	
1760	15032.317	13909.758	
1761	17049.116	18291.374	
1762	17918.707	19382.840	
1763	11652.987	11016.929	
1764	17225.775	19413.179	
1765	11080.851	11418.738	
1766	13183.779	15886.184	
1767	12901.936	11847.532	
1768	17657.089	20517.273	
1769	17376.761	19735.991	
1770	13233.675	16214.768	
1771	20685.694	19078.750	
1772	10764.738	12337.775	
1773	10075.225	9532.424	
1774	11680.877	11469.946	
1775	12891.286	13564.924	
1776	11284.025	11255.751	
1777	13275.184	9396.070	
1778	10454.194	9705.681	
1779	12564.784	10592.919	
1780	12652.953	9244.911	
1781	13012.808	10434.346	
1782	10358.812	8913.605	
1783	16095.304	12558.898	
1784	16499.105	17213.780	
1785	18204.787	16643.520	
1786	12369.996	10869.686	
1787	16378.266	17304.921	
1788	12769.897	13448.295	
1789	10301.505	10098.620	
1790	14739.591	21029.560	
1791	18807.482	20353.606	
1792	16084.781	21057.548	
1793	15053.801	14749.194	
1794	16626.974	15238.792	
1795	12816.58	12156.142	
1796	16182.91	17616.230	
1797	15769.122	19985.514	
1798	10538.567	8185.892	
1799	18176.046	16867.560	
1800	17343.264	14369.550	
1801	10874.905	11923.434	
1802	14428.509	16988.844	
1803	9967.1899	13558.543	
1804	10406.253	11044.787	
1805	11085.014	11228.581	
1806	9511.2556	10257.043	
1807	16793.256	13008.841	
1808	11097.468	13450.851	
1809	9923.4836	10749.254	
1810	10420.492	13443.332	
1811	16435.444	20026.530	
1812	15505.147	17799.449	
